template,ID,description,payload_type
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""{airports_ident}"", ""{airports_type}"", ""{airports_name}"", {airports_latitude_deg}, {airports_longitude_deg})",airport-I1,An insert statement with a SQL injection vulnerability in the ident field.,string string string float float
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES (""{airports_ident}"", ""{airports_type}"", ""{airports_name}"", {airports_latitude_deg}, {airports_longitude_deg}, {airports_elevation_ft})",airport-I2,An insert statement allowing SQL injection through the elevation_ft numeric parameter.,string string string float float float
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""{airports_ident}"",""{airports_type}"", ""{airports_name}"",""{airports_wikipedia_link}"",""{airports_continent}"")",airport-I3,An insert statement vulnerable to SQL injection through the continent field.,string string string string string
"INSERT INTO regions (code, name, continent, iso_country, wikipedia_link, keywords) VALUES (""{regions_code}"", ""{regions_name}"", ""{regions_continent}"", ""{regions_iso_country}"", ""{regions_wikipedia_link}"", ""{regions_keywords}"")",airport-I4,An insert in the region table using wikipedia_link and keywords in the regions table.,string string string string string string
"INSERT INTO regions (code, local_code, name, continent, iso_country) VALUES (""{regions_code}"", ""{regions_local_code}"", ""{regions_name}"", ""{regions_continent}"", ""{regions_iso_country}"")",airport-I5,An insert into regions where local_code and name can be manipulated.,string string string string string
"INSERT INTO countries (code, name, continent, keywords) VALUES (""{countries_code}"", ""{countries_name}"", ""{countries_continent}"", ""{countries_keywords}"")",airport-I6,Insert statement in for the country table.,string string string string
"INSERT INTO countries (code, name, continent) VALUES (""{countries_code}"", ""{countries_name}"", ""{countries_continent}"")",airport-I7,Insert statement in for the country table.,string string string
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES ({airport-frequencies_id}, {airport-frequencies_airport_ref}, ""{airport-frequencies_airport_ident}"", ""{airport-frequencies_type}"", ""{airport-frequencies_description}"", {airport-frequencies_frequency_mhz})",airport-I8,Insert into airport_frequencies table.,int int string string string float
"INSERT INTO runways (airport_ref, airport_ident, length_ft, surface, lighted, closed) VALUES ({runways_airport_ref}, ""{runways_airport_ident}"", {runways_length_ft}, ""{runways_surface}"", {runways_lighted}, {runways_closed})",airport-I9,Insert into runways table.,int string int string int int
"INSERT INTO navaids (id, ident, name, type, frequency_khz, iso_country) VALUES ({navaids_id}, ""{navaids_ident}"", ""{navaids_name}"", ""{navaids_type}"", {navaids_frequency_khz}, ""{navaids_iso_country}"")",airport-I10,Insert into navaids table.,int string string string int string
